year,figure,breakdown,disaggregation,indicator,measure
2018,81.8,Shetland Islands,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,70.6,Shetland Islands,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,40.7,South Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,30.2,South Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,59.2,South Lanarkshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,56.8,South Lanarkshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,52.7,Stirling,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,65.1,Stirling,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,43.5,West Dunbartonshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,44.7,West Dunbartonshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,51.2,West Lothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,55.9,West Lothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,54.7,2,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,55.7,2,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,59.2,3,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,60.4,3,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,63.8,4,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,59.7,4,Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,49.6,1 (20% most deprived),Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,48.3,1 (20% most deprived),Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,66.5,5 (20% least deprived),Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,61.2,5 (20% least deprived),Scottish Index of Multiple Deprivation,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
